Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Ge81 ; 0.00160191 ; 0.00102522 ; 0.00173663 ; 0.00111144
Ge82 ; 0.00141597 ; 9.06221E-4 ; 0.0015925 ; 0.0010192
Ge83 ; 6.32892E-4 ; 4.05051E-4 ; 7.8045E-4 ; 4.99488E-4
Ge84 ; 2.34822E-4 ; 1.50286E-4 ; 3.3181E-4 ; 2.12358E-4
Ge85 ; 4.45122E-5 ; 2.84878E-5 ; 9.119E-5 ; 5.83616E-5
Ge86 ; 4.53023E-6 ; 2.89934E-6 ; 1.248E-5 ; 7.9872E-6
Ge87 ; 3.37007E-7 ; 2.15684E-7 ; 1.47955E-6 ; 9.4691E-7
Ge88 ; 1.55003E-8 ; 9.9202E-9 ; 8.13751E-8 ; 5.208E-8
Ge89 ; 7.03361E-11 ; 4.50151E-11 ; 2.08309E-9 ; 1.33317E-9
Ge90 ; 4.77084E-12 ; 3.05334E-12 ; 1.94533E-10 ; 1.24501E-10
Ge91 ; 4.90401E-13 ; 3.13857E-13 ;  ; 
As69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0 ; 0.0 ; 0.0
As72 ; 0.0 ; 0.0 ; 1.62E-13 ; 1.0368E-13
As73 ; 1.32007E-14 ; 8.44842E-15 ; 8.27E-12 ; 5.2928E-12
As74 ; 7.37037E-13 ; 4.71704E-13 ; 5.69E-11 ; 3.6416E-11
As74m ; 1.9901E-12 ; 1.27366E-12 ; 2.59E-10 ; 1.6576E-10
As75 ; 2.94015E-10 ; 1.88169E-10 ; 7.06E-9 ; 4.5184E-9
As76 ; 1.61008E-8 ; 1.03045E-8 ; 1.12E-7 ; 7.168E-8
As77 ; 5.14026E-7 ; 3.28976E-7 ; 1.78E-6 ; 1.1392E-6
As78 ; 4.89024E-6 ; 3.12976E-6 ; 1.847E-5 ; 1.18208E-5
As79 ; 5.28226E-5 ; 3.38065E-5 ; 1.1298E-4 ; 7.23072E-5
As80 ; 2.40442E-4 ; 1.53883E-4 ; 4.536E-4 ; 2.90304E-4
As81 ; 9.28176E-4 ; 5.94033E-4 ; 0.00136462 ; 8.73357E-4
As82 ; 9.26556E-4 ; 5.92996E-4 ; 0.00150678 ; 9.64339E-4
