Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Pr156 ,0.00000445
Pr157 ,0.000000329
Pr158 ,0.0000000127
Pr159 ,3.35979E-10
Pr160 ,3.71E-12
Pr161 ,1.94513E-14
Pr162 ,6.43848E-17
Nd140 ,0
Nd141 ,0
Nd142 ,1.25E-14
Nd143 ,1.49E-12
Nd144 ,1.33E-10
Nd145 ,0.00000000544
Nd146 ,0.00000018
Nd147 ,0.00000285
Nd148 ,0.00002994
Nd149 ,0.00018608
Nd150 ,0.00079437
Nd151 ,0.00194838
Nd152 ,0.0034002
Nd153 ,0.00304669
Nd154 ,0.00228142
Nd155 ,0.00121179
Nd156 ,0.00033907
Nd157 ,0.00006614
Nd158 ,0.00000972
Nd159 ,0.000000719
Nd160 ,0.0000000314
Nd161 ,6.74981E-10
Nd162 ,3.04994E-12
Nd163 ,4.52E-14
Nd164 ,0
Nd165 ,3.19512E-18
Pm141 ,0
Pm143 ,0
Pm144 ,0
Pm145 ,6.1E-14
Pm146 ,6.07E-12
Pm147 ,3.96E-10
Pm148 ,0.00000000356
Pm148m ,0.00000000831
Pm149 ,0.000000296
Pm150 ,0.00000345
Pm151 ,0.00003106
Pm152 ,0.0000468933
Pm152m ,0.0000468933
Pm152n ,0.0000468933
Pm153 ,0.00042048
Pm154 ,0.0003523
Pm154m ,0.0003523
Pm155 ,0.00116727
Pm156 ,0.00073804
Pm157 ,0.00046862
Pm158 ,0.00016934
Pm159 ,0.00004493
Pm160 ,0.00000527
Pm161 ,0.000000422
Pm162 ,0.00000000538
Pm163 ,3.08E-10
Pm164 ,4.3E-12
Pm165 ,4.98968E-14
Pm166 ,2.51206E-16
Pm167 ,4.55304E-18
Sm143 ,0
Sm143m ,0
Sm144 ,0
Sm145 ,0
Sm146 ,0
Sm147 ,0
Sm148 ,4.83E-13
Sm149 ,3.61E-11
Sm150 ,0.00000000168
Sm151 ,0.0000000426
Sm152 ,0.000000767
Sm153 ,0.00000617
Sm154 ,0.00003617
Sm155 ,0.00014809
Sm156 ,0.00030622
Sm157 ,0.00044047
Sm158 ,0.00049608
Sm159 ,0.0003012
Sm160 ,0.0001175
Sm161 ,0.00002297
Sm162 ,0.00000107
Sm163 ,0.000000161
Sm164 ,0.00000000847
Sm165 ,2.71E-10
Sm166 ,1.18997E-11
Sm167 ,1.57995E-13
Sm168 ,0
Sm169 ,9.15635E-18
Sm170 ,0
Eu147 ,0
Eu149 ,0
Eu151 ,1.54E-12
Eu152 ,2.74667E-11
Eu152m ,2.74667E-11
Eu152n ,2.74667E-11
Eu153 ,0.00000000263
Eu154 ,0.00000002095
Eu154m ,0.00000002095
Eu155 ,0.000000654
Eu156 ,0.00000359
