Product ,  , 
Product ,  , 
Product , Yield , Error
Kr94 ,2.79460E-04,1.78854E-04
Kr95 ,3.91465E-05,2.50538E-05
Kr96 ,3.89000E-06,2.48960E-06
Kr97 ,3.06894E-07,1.96412E-07
Kr98 ,1.30000E-08,8.32000E-09
Kr99 ,6.65376E-10,4.25841E-10
Kr100 ,1.04000E-11,6.65600E-12
Rb79 ,0.00000E+00,0.00000E+00
Rb81 ,8.06000E-12,5.15840E-12
Rb83 ,3.30000E-08,2.11200E-08
Rb84 ,1.12000E-06,7.16800E-07
Rb85 ,1.75100E-05,1.12064E-05
Rb86 ,8.39200E-05,5.37088E-05
Rb86m ,8.39200E-05,5.37088E-05
Rb87 ,9.70319E-04,6.21004E-04
Rb88 ,4.22585E-03,2.70454E-03
Rb89 ,1.17990E-02,3.77567E-03
Rb90 ,2.36745E-03,1.51517E-03
Rb90m ,1.91539E-02,6.12926E-03
Rb91 ,2.93761E-02,9.40035E-03
Rb92 ,2.75389E-02,8.81245E-03
Rb93 ,1.63040E-02,5.21726E-03
Rb94 ,7.99725E-03,5.11824E-03
Rb95 ,2.69559E-03,1.72518E-03
Rb96 ,6.42720E-04,4.11341E-04
Rb97 ,1.20600E-04,7.71840E-05
Rb98 ,1.25500E-05,8.03200E-06
Rb99 ,8.94485E-07,5.72470E-07
Rb100 ,6.08000E-08,3.89120E-08
Rb101 ,1.24718E-09,7.98195E-10
Rb102 ,7.11457E-11,4.55333E-11
Rb103 ,  , 
Sr83 ,6.09000E-12,3.89760E-12
Sr84 ,5.93000E-10,3.79520E-10
Sr85 ,1.32500E-08,8.48000E-09
Sr85m ,1.32500E-08,8.48000E-09
Sr86 ,6.81000E-07,4.35840E-07
Sr87 ,9.04999E-06,5.79200E-06
Sr87m ,1.12000E-06,7.16800E-07
Sr88 ,1.12150E-04,7.17760E-05
Sr89 ,7.61700E-04,4.87488E-04
Sr90 ,3.12168E-03,1.99787E-03
Sr91 ,9.66988E-03,6.18873E-03
Sr92 ,1.99960E-02,6.39873E-03
Sr93 ,2.90564E-02,9.29805E-03
Sr94 ,2.81891E-02,9.02051E-03
Sr95 ,2.15743E-02,6.90378E-03
Sr96 ,1.16979E-02,3.74332E-03
Sr97 ,4.99837E-03,3.19895E-03
Sr98 ,1.23442E-03,7.90028E-04
Sr99 ,2.58355E-04,1.65347E-04
Sr100 ,3.45200E-05,2.20928E-05
Sr101 ,3.61875E-06,2.31600E-06
Sr102 ,2.78929E-07,1.78514E-07
Sr103 ,1.38107E-08,8.83887E-09
Sr104 ,4.00000E-09,2.56000E-09
Sr105 ,3.12477E-10,1.99985E-10
Sr106 ,3.88667E-11,2.48747E-11
Sr107 ,  , 
Y85 ,3.86000E-12,2.47040E-12
Y87 ,1.09000E-08,6.97600E-09
Y88 ,3.16000E-07,2.02240E-07
Y89 ,5.75000E-07,3.68000E-07
Y89m ,4.65000E-06,2.97600E-06
Y90 ,2.67900E-05,1.71456E-05
Y90m ,2.67900E-05,1.71456E-05
Y91 ,1.88650E-04,1.20736E-04
Y91m ,1.88650E-04,1.20736E-04
Y92 ,2.01232E-03,1.28788E-03
Y93 ,3.32642E-03,2.12891E-03
Y93m ,3.32642E-03,2.12891E-03
Y94 ,1.35788E-02,4.34522E-03
Y95 ,2.30709E-02,7.38268E-03
Y96 ,1.62637E-03,1.04088E-03
Y96m ,2.54809E-02,5.86061E-03
Y97 ,1.24730E-02,7.98272E-03
Y97m ,1.24730E-02,7.98272E-03
Y98 ,6.90836E-03,4.42135E-03
Y98m ,6.90820E-03,4.42125E-03
Y99 ,6.65908E-03,4.26181E-03
Y100 ,2.03472E-03,1.30222E-03
Y101 ,4.98060E-04,3.18758E-04
Y102 ,9.12999E-05,5.84320E-05
Y103 ,1.85662E-05,1.18824E-05
Y104 ,4.44000E-06,2.84160E-06
Y105 ,4.20071E-07,2.68846E-07
Y106 ,3.86694E-08,2.47484E-08
Y107 ,6.60248E-10,4.22559E-10
Y108 ,4.05454E-11,2.59491E-11
Y109 ,  , 
Zr87 ,1.11000E-12,7.10400E-13
Zr88 ,8.68999E-11,5.56160E-11
Zr89 ,3.67000E-09,2.34880E-09
Zr90 ,4.76000E-08,3.04640E-08
Zr90m ,4.76000E-08,3.04640E-08
Zr91 ,1.68000E-06,1.07520E-06
Zr92 ,2.19800E-05,1.40672E-05
Zr93 ,1.68970E-04,1.08141E-04
Zr94 ,8.35820E-04,5.34924E-04
Zr95 ,3.25208E-03,2.08133E-03
Zr96 ,8.55122E-03,5.47278E-03
Zr97 ,1.68227E-02,5.38326E-03
Zr98 ,2.02016E-02,6.46450E-03
Zr99 ,2.12573E-02,6.80233E-03
Zr100 ,1.41057E-02,4.51383E-03
Zr101 ,7.65227E-03,4.89745E-03
Zr102 ,3.17734E-03,2.03350E-03
Zr103 ,1.30801E-03,8.37126E-04
Zr104 ,4.99980E-04,3.19987E-04
Zr105 ,1.21330E-04,7.76509E-05
Zr106 ,1.50913E-05,9.65842E-06
Zr107 ,1.91574E-06,1.22607E-06
Zr108 ,1.58959E-07,1.01734E-07
Zr109 ,6.23639E-09,3.99129E-09
Zr110 ,3.84000E-10,2.45760E-10
Zr111 ,6.73204E-11,4.30851E-11
Nb89 ,2.45000E-13,1.56800E-13
