Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; (E=2 MeV) ; (E=2 MeV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ni77 ; 3.44979E-11 ; 2.20787E-11 ; 2.06976E-10 ; 1.32464E-10 ; 2.06963E-10 ; 1.32455E-10 ; 1.051712E-8 ; 6.730964E-9
Ni78 ; 2.37997E-12 ; 1.52318E-12 ; 1.16992E-11 ; 7.48749E-12 ; 1.16984E-11 ; 7.48698E-12 ; 1.462468E-9 ; 9.35976E-10
Ni79 ; 8.04716E-14 ; 5.15018E-14 ; 3.80296E-13 ; 2.43389E-13 ; 3.80271E-13 ; 2.43373E-13 ; 1.48193E-10 ; 9.48436E-11
Ni80 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.35318E-11 ; 8.66036E-12
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.88443E-14 ; 1.20603E-14
Cu65 ;  ;  ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu66 ; 1.37998E-11 ; 8.83189E-12 ; 2.0498E-11 ; 1.3119E-11 ; 2.05593E-11 ; 1.31182E-11 ; 5.192245E-9 ; 3.322717E-9
Cu67 ; 1.55998E-10 ; 9.98388E-11 ; 4.78998E-10 ; 3.06436E-10 ; 4.88209E-10 ; 3.06415E-10 ; 3.337883E-8 ; 2.133058E-8
Cu68 ; 4.96994E-10 ; 3.18076E-10 ; 1.389802E-9 ; 8.89296E-10 ; 1.410632E-9 ; 8.89237E-10 ; 4.048961E-8 ; 2.590529E-8
Cu68m ; 1.15999E-9 ; 7.42391E-10 ; 3.758964E-9 ; 2.401441E-9 ; 3.911811E-9 ; 2.401279E-9 ; 1.843179E-7 ; 1.169338E-7
Cu69 ; 1.65998E-8 ; 1.06239E-8 ; 6.002178E-8 ; 3.702464E-8 ; 6.996436E-8 ; 3.702215E-8 ; 8.743219E-7 ; 5.184973E-7
Cu70 ; 2.18997E-8 ; 1.40158E-8 ; 6.717766E-8 ; 4.269191E-8 ; 7.238315E-8 ; 4.268904E-8 ; 4.07831E-7 ; 2.596903E-7
Cu70m ; 6.57992E-8 ; 4.21115E-8 ; 2.377619E-7 ; 1.37755E-7 ; 3.030971E-7 ; 1.377459E-7 ; 2.311324E-6 ; 1.198995E-6
Cu70n ;  ;  ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu71 ; 2.11997E-7 ; 1.35678E-7 ; 1.111257E-6 ; 3.620386E-7 ; 1.700493E-6 ; 3.620171E-7 ; 6.380309E-6 ; 2.106775E-6
Cu72 ; 5.22994E-7 ; 3.34716E-7 ; 2.536021E-6 ; 1.024554E-6 ; 3.700029E-6 ; 1.024489E-6 ; 1.153947E-5 ; 3.945129E-6
Cu73 ; 7.109909E-7 ; 4.55034E-7 ; 2.462327E-6 ; 1.351269E-6 ; 3.129391E-6 ; 1.351179E-6 ; 1.503296E-5 ; 7.374515E-6
Cu74 ; 6.29992E-7 ; 4.03195E-7 ; 2.516718E-6 ; 1.580868E-6 ; 2.743717E-6 ; 1.580762E-6 ; 1.349209E-5 ; 8.028439E-6
Cu75 ; 4.41995E-7 ; 2.82877E-7 ; 1.329836E-6 ; 8.487687E-7 ; 1.377592E-6 ; 8.487117E-7 ; 1.022201E-5 ; 6.457882E-6
Cu76 ; 1.65998E-7 ; 1.06239E-7 ; 6.329177E-7 ; 4.050349E-7 ; 6.380881E-7 ; 4.050076E-7 ; 5.343946E-6 ; 3.414843E-6
Cu77 ; 5.42993E-8 ; 3.47516E-8 ; 2.059832E-7 ; 1.318309E-7 ; 2.062376E-7 ; 1.31822E-7 ; 1.864461E-6 ; 1.193127E-6
Cu78 ; 9.789879E-9 ; 6.26552E-9 ; 3.069789E-8 ; 1.96467E-8 ; 3.069836E-8 ; 1.964537E-8 ; 5.873969E-7 ; 3.759228E-7
Cu79 ; 1.12991E-9 ; 7.2314E-10 ; 4.939274E-9 ; 3.161136E-9 ; 4.938981E-9 ; 3.160923E-9 ; 1.612306E-7 ; 1.031875E-7
Cu80 ; 7.22991E-11 ; 4.62714E-11 ; 2.66981E-10 ; 1.70868E-10 ; 2.66963E-10 ; 1.70857E-10 ; 2.836672E-8 ; 1.815467E-8
Cu81 ; 2.79997E-12 ; 1.79198E-12 ; 1.08992E-11 ; 6.97552E-12 ; 1.08985E-11 ; 6.97505E-12 ; 3.508244E-9 ; 2.245278E-9
Cu82 ; 3.35996E-14 ; 2.15037E-14 ; 2.01986E-13 ; 1.29271E-13 ; 2.01972E-13 ; 1.29263E-13 ; 2.14504E-10 ; 1.37283E-10
Cu83 ;  ;  ; 1.0551E-14 ; 6.75258E-15 ; 1.05502E-14 ; 6.75213E-15 ; 1.97649E-11 ; 1.26495E-11
Zn66 ; 3.49996E-14 ; 2.23997E-14 ; 3.06979E-14 ; 1.96467E-14 ; 3.0696E-14 ; 1.96454E-14 ; 3.01709E-11 ; 1.93094E-11
Zn67 ; 9.93988E-13 ; 6.36152E-13 ; 1.91987E-12 ; 1.22872E-12 ; 1.91989E-12 ; 1.22863E-12 ; 4.33018E-10 ; 2.77131E-10
Zn68 ; 3.64996E-11 ; 2.33597E-11 ; 7.25947E-11 ; 4.64607E-11 ; 7.26469E-11 ; 4.64576E-11 ; 6.394891E-9 ; 4.092774E-9
Zn69 ; 1.63998E-10 ; 1.04959E-10 ; 3.52973E-10 ; 2.25904E-10 ; 3.53293E-10 ; 2.25889E-10 ; 5.913912E-9 ; 3.784884E-9
Zn69m ; 7.00991E-10 ; 4.48634E-10 ; 1.71982E-9 ; 1.10069E-9 ; 1.727852E-9 ; 1.100617E-9 ; 4.78131E-8 ; 3.059348E-8
Zn70 ; 1.49998E-8 ; 9.599879E-9 ; 3.449297E-8 ; 2.203622E-8 ; 3.58639E-8 ; 2.203474E-8 ; 3.547323E-7 ; 2.26171E-7
Zn71 ; 1.45998E-8 ; 9.343879E-9 ; 4.819924E-8 ; 3.082437E-8 ; 4.930727E-8 ; 3.082229E-8 ; 1.944512E-7 ; 1.244101E-7
Zn71m ; 6.23992E-8 ; 3.99355E-8 ; 2.35044E-7 ; 1.478733E-7 ; 2.614435E-7 ; 1.478633E-7 ; 1.573314E-6 ; 9.844511E-7
Zn72 ; 5.81993E-7 ; 3.72475E-7 ; 1.957622E-6 ; 1.004324E-6 ; 2.650813E-6 ; 1.004259E-6 ; 6.584751E-6 ; 3.697312E-6
Zn73 ; 1.64998E-6 ; 1.05599E-6 ; 4.029631E-6 ; 1.362159E-6 ; 5.823697E-6 ; 1.362075E-6 ; 1.752204E-5 ; 7.428525E-6
Zn74 ; 4.41995E-6 ; 2.82877E-6 ; 1.227559E-5 ; 1.872047E-6 ; 1.770194E-5 ; 1.871977E-6 ; 3.202902E-5 ; 9.1117E-6
Zn75 ; 6.83992E-6 ; 4.37755E-6 ; 1.48442E-5 ; 4.818033E-6 ; 2.074661E-5 ; 4.817735E-6 ; 5.059566E-5 ; 1.971885E-5
Zn76 ; 8.619889E-6 ; 5.51673E-6 ; 2.261045E-5 ; 1.140393E-5 ; 2.909744E-5 ; 1.140317E-5 ; 5.540757E-5 ; 2.981543E-5
Zn77 ; 6.75992E-6 ; 4.32635E-6 ; 1.82646E-5 ; 1.138591E-5 ; 2.00901E-5 ; 1.138515E-5 ; 4.15231E-5 ; 2.544608E-5
Zn78 ; 4.39995E-6 ; 2.81597E-6 ; 9.467075E-6 ; 6.04894E-6 ; 9.683962E-6 ; 6.048534E-6 ; 2.837401E-5 ; 1.80194E-5
Zn79 ; 1.28998E-6 ; 8.255899E-7 ; 4.029447E-6 ; 2.578819E-6 ; 4.051418E-6 ; 2.578646E-6 ; 1.723197E-5 ; 1.100601E-5
Zn80 ; 3.29996E-7 ; 2.11197E-7 ; 7.949344E-7 ; 5.087645E-7 ; 7.951464E-7 ; 5.087302E-7 ; 6.779927E-6 ; 4.336489E-6
Zn81 ; 3.54996E-8 ; 2.27197E-8 ; 8.859371E-8 ; 5.670006E-8 ; 8.85901E-8 ; 5.669624E-8 ; 1.904548E-6 ; 1.218865E-6
Zn82 ; 1.74998E-9 ; 1.11999E-9 ; 6.529552E-9 ; 4.178915E-9 ; 6.529125E-9 ; 4.178633E-9 ; 2.706293E-7 ; 1.732071E-7
Zn83 ; 4.90994E-11 ; 3.14236E-11 ; 2.21975E-10 ; 1.42064E-10 ; 2.2196E-10 ; 1.42054E-10 ; 2.734439E-8 ; 1.750053E-8
Zn84 ; 1.02999E-12 ; 6.59192E-13 ; 5.7696E-12 ; 3.69255E-12 ; 5.76921E-12 ; 3.6923E-12 ; 1.944584E-9 ; 1.244525E-9
Zn85 ; 2.03671E-14 ; 1.3035E-14 ; 1.52426E-13 ; 9.75529E-14 ; 1.52416E-13 ; 9.75463E-14 ; 1.56477E-10 ; 1.00145E-10
