Product , Fast (500 keV) 
Product ,  
Product , Yield 
Nb111 ,8.44958E-16
Nb112 ,1.81486E-17
Nb113 ,2.79148E-17
Nb114 ,1.49137E-12
Nb115 ,6.68522E-14
Nb116 ,  
Mo90 ,0
Mo91 ,0
Mo92 ,0
Mo93 ,0
Mo93m ,0
Mo94 ,2.25E-14
Mo95 ,3.03E-12
Mo96 ,3.04E-10
Mo97 ,0.0000000146
Mo98 ,0.000000472
Mo99 ,0.00000888
Mo100 ,0.00011833
Mo101 ,0.0009537
Mo102 ,0.0057777
Mo103 ,0.0170409
Mo104 ,0.0405925
Mo105 ,0.0451325
Mo106 ,0.0404518
Mo107 ,0.0176211
Mo108 ,0.00478074
Mo109 ,0.00051957
Mo110 ,0.000000744
Mo111 ,0.0000000206
Mo112 ,5.34E-10
Mo113 ,6.80559E-10
Mo114 ,0.0000000587985
Mo115 ,0.00000000218389
Mo116 ,6.72E-12
Mo117 ,5.73508E-14
Tc93 ,0
Tc95 ,0
Tc95m ,0
Tc97 ,9.25E-14
Tc97m ,9.25E-14
Tc98 ,1.71E-11
Tc99 ,0.00000000103
Tc99m ,2.1E-10
Tc100 ,0.0000000491
Tc101 ,0.00000157
Tc102 ,0.00001355
Tc102m ,0.00001355
Tc103 ,0.00030959
Tc104 ,0.00202419
Tc105 ,0.00790819
Tc106 ,0.0175835
Tc107 ,0.0260499
Tc108 ,0.0181724
Tc109 ,0.00788751
Tc110 ,0.00150301
Tc111 ,0.00025391
Tc112 ,0.0000278
Tc113 ,0.00000469932
Tc114 ,0.00001618
Tc115 ,0.00000203845
Tc116 ,0.0000000385
Tc117 ,0.00000000126434
Tc118 ,2.68852E-12
Tc119 ,8.96889E-14
Tc120 ,1.24281E-15
Ru95 ,0
Ru96 ,0
Ru97 ,0
Ru98 ,0
Ru99 ,1.17E-14
Ru100 ,1.92E-12
Ru101 ,1.81E-10
Ru102 ,0.0000000131
Ru103 ,0.000000458
Ru104 ,0.00001243
Ru105 ,0.00014009
Ru106 ,0.00123032
Ru107 ,0.00485115
Ru108 ,0.012177
Ru109 ,0.00697422
Ru109m ,0.00697422
Ru110 ,0.0121651
Ru111 ,0.00558669
Ru112 ,0.00250604
Ru113 ,0.0012342
Ru114 ,0.00052451
Ru115 ,0.000137039
Ru116 ,0.00002171
Ru117 ,0.00000174874
Ru118 ,0.000000105997
Ru119 ,0.00000000292991
Ru120 ,4.89988E-11
Ru121 ,2.51738E-13
Ru122 ,0
Ru124 ,0
Rh99 ,0
Rh101 ,0
Rh101m ,0
Rh102 ,5.8E-14
Rh102m ,5.8E-14
Rh103 ,2.29E-12
Rh103m ,1.68E-11
Rh104 ,3.32E-10
Rh104m ,0.00000000118
Rh105 ,0.0000000642
Rh105m ,0.00000000876
Rh106 ,0.000000916
Rh106m ,0.000000916
Rh107 ,0.00003306
Rh108 ,0.00012345
Rh108m ,0.00012345
Rh109 ,0.00058146
Rh109m ,0.00058146
Rh110 ,0.00016806
Rh110m ,0.00016806
Rh111 ,0.00060506
Rh112 ,0.00064306
Rh113 ,0.00088927
Rh114 ,0.00053748
Rh115 ,0.00060689
Rh116 ,0.00028761
Rh117 ,0.00010196
Rh118 ,0.00001969
Rh119 ,0.00000255
Rh120 ,0.000000149
Rh121 ,0.00000000554975
Rh122 ,8.39E-11
Rh123 ,8.51E-13
Rh124 ,0
Pd99 ,0
Pd101 ,0
Pd102 ,0
Pd103 ,0
Pd104 ,1.69E-14
Pd105 ,2.58E-12
Pd106 ,2.92E-10
Pd107 ,0.00000000524
Pd107m ,0.0000000117
Pd108 ,0.000000569
Pd109 ,0.00000278
Pd109m ,0.00000619
Pd110 ,0.0000000206
Pd111 ,0.0000000512
Pd111m ,0.000000114
Pd112 ,0.000000956
Pd113 ,0.00000423
Pd114 ,0.00009526
Pd115 ,0.00033639
Pd116 ,0.00061481
Pd117 ,0.0005998
Pd118 ,0.00044445
Pd119 ,0.0001749
Pd120 ,0.00004575
Pd121 ,0.00000574
Pd122 ,0.000000431
Pd123 ,0.000000016
Pd124 ,3.8E-10
Pd125 ,0
Pd126 ,0
Pd127 ,0
Pd128 ,0
Pd129 ,0
Pd130 ,0
Ag103 ,0
Ag105 ,0
Ag105m ,0
Ag106 ,0
Ag106m ,0
Ag107 ,2.65E-14
Ag107m ,1.94E-13
Ag108 ,1.25E-11
Ag108m ,1.25E-11
Ag109 ,9.7E-10
Ag109m ,9.7E-10
Ag110 ,0
Ag110m ,0
Ag111 ,0
Ag111m ,1.06E-14
Ag112 ,3.12E-13
Ag113 ,8.67E-13
Ag113m ,6.36E-12
Ag114 ,0.000000434
Ag115 ,0.00000391
Ag115m ,0.00000391
Ag116 ,0.00002234
Ag116m ,0.00002234
Ag117 ,0.00008583
Ag117m ,0.00008583
Ag118 ,0.00016415
Ag118m ,0.00016415
Ag119 ,0.00047737
Ag120 ,0.0001745
Ag120m ,0.0001745
Ag121 ,0.00018211
Ag122 ,0.000022455
Ag122m ,0.000022455
Ag123 ,0.00000797
Ag124 ,0.000000654
Ag125 ,1.38E-11
Ag126 ,1.1E-12
Ag127 ,7.86E-14
Ag128 ,0
Ag129 ,5.78345E-16
Ag130 ,0
Ag131 ,3.02126E-11
Ag132 ,1.02214E-12
Cd105 ,0
Cd106 ,0
Cd107 ,0
Cd108 ,0
Cd109 ,2.79E-14
Cd110 ,0
Cd111 ,0
Cd111m ,0
Cd112 ,0
Cd113 ,0
Cd113m ,0
Cd114 ,2.03E-10
Cd115 ,0.00000000311
Cd115m ,0.0000000117
Cd116 ,0.000000418
Cd117 ,0.00000111
Cd117m ,0.00000417
Cd118 ,0.00004092
Cd119 ,0.00008338
Cd119m ,0.00008338
Cd120 ,0.00045107
Cd121 ,0.00031136
Cd121m ,0.00031136
Cd122 ,0.00060411
Cd123 ,0.0003257
Cd124 ,0.00011709
Cd125 ,0.00000514
Cd126 ,0.00000169
Cd127 ,0.00000039
Cd128 ,0.000000102
Cd129 ,0.0000000141
Cd130 ,0.00000000148
Cd131 ,0.00000098697
Cd132 ,0.000000040299
Cd133 ,1.74176E-10
Cd134 ,4.9E-12
Cd135 ,4.16531E-13
Cd136 ,0
In107 ,0
In109 ,0
In111 ,0
In112 ,0
In112m ,0
In113 ,0
In113m ,0
In114 ,0
In114m ,0
In115 ,6.17E-13
In115m ,1.26E-13
In116 ,2.64E-11
In116m ,2.64E-11
In116n ,2.64E-11
In117 ,0.00000000413
In117m ,8.46E-10
In118 ,0.0000000983
In118m ,0.00000001385
In118n ,0.00000001385
In119 ,0.00000191
In119m ,0.000000392
In120 ,0.00000632667
In120m ,0.00000632667
In120n ,0.00000632667
In121 ,0.00008594
In121m ,0.0000176
In122 ,0.00009222
In122m ,0.00009222
In122n ,0.00009222
In123 ,0.00046536
In123m ,0.00009531
In124 ,0.000275065
In124m ,0.000275065
In125 ,0.00036391
In125m ,0.00036391
In126 ,0.00030305
In126m ,0.00030305
In127 ,0.00027799
In127m ,0.00027799
In128 ,0.00021716
In128m ,0.00021716
In129 ,0.00014766
In129m ,0.00014766
In130 ,0.0000377133
In130m ,0.0000377133
In130n ,0.0000377133
In131 ,0.00019228
In131m ,0.00019228
In132 ,0.00005072
In133 ,0.00000383983
In134 ,0.000000104
In135 ,0.00000000918272
In136 ,2.03E-11
In137 ,4.25486E-13
Sn111 ,0
Sn112 ,0
Sn113 ,0
Sn113m ,0
Sn114 ,0
Sn115 ,0
Sn116 ,0
Sn117 ,1.615E-13
Sn117m ,1.615E-13
Sn118 ,3.91E-11
Sn119 ,5.24E-10
Sn119m ,0.00000000197
Sn120 ,0.0000000971
Sn121 ,0.00000045
Sn121m ,0.00000128
Sn122 ,0.0000204
Sn123 ,0.00009057
Sn123m ,0.00003182
Sn124 ,0.00045161
Sn125 ,0.00057439
Sn125m ,0.00020181
Sn126 ,0.00161675
Sn127 ,0.00200402
Sn127m ,0.00070411
Sn128 ,0.0029322
Sn128m ,0.0029322
Sn129 ,0.00717753
Sn129m ,0.00252119
Sn130 ,0.00698891
Sn130m ,0.00698891
Sn131 ,0.00626
Sn131m ,0.00626
Sn132 ,0.00674809
Sn133 ,0.00162723
Sn134 ,0.00020811
Sn135 ,0.0000127008
Sn136 ,0.00000058
Sn137 ,0.0000000138996
Sn138 ,2.78E-10
Sn139 ,4.10492E-12
Sn140 ,4.40509E-13
Sb113 ,0
Sb115 ,0
Sb117 ,0
Sb118 ,0
Sb118m ,0
Sb119 ,7.05E-14
Sb120 ,3.61E-12
Sb120m ,6.15E-12
Sb121 ,8.47E-10
Sb122 ,0.0000000151
Sb122m ,0.0000000201
Sb123 ,0.000000997
Sb124 ,0.00000383333
Sb124m ,0.00000383333
Sb124n ,0.00000383333
Sb125 ,0.00000199
Sb126 ,0.00000552
Sb126m ,0.00000381
Sb126n ,0.00000381
Sb127 ,0.00005835
Sb128 ,0.00011968
Sb128m ,0.00016527
Sb129 ,0.00167989
Sb130 ,0.00190003
Sb130m ,0.00262377
Sb131 ,0.0175962
Sb132 ,0.0128975
Sb132m ,0.0114374
Sb133 ,0.0227138
Sb134 ,0.00445328
Sb134m ,0.00445328
Sb135 ,0.0023079
Sb136 ,0.00031423
Sb137 ,0.00003189
Sb138 ,0.00000181
Sb139 ,0.0000000904959
Sb140 ,0.00000000804661
Sb141 ,1.18239E-11
Sb142 ,5.25022E-13
Te115 ,0
Te117 ,0
Te118 ,0
Te119 ,0
Te120 ,0
Te121 ,1.405E-14
Te121m ,1.405E-14
Te122 ,5.99E-12
Te123 ,1.29E-10
Te123m ,4.86E-10
Te124 ,0.0000000339
Te125 ,9.88E-13
Te125m ,3.72E-12
Te126 ,1.27E-10
Te127 ,4.63E-10
Te127m ,0.00000000132
Te128 ,0.0000000373
Te129 ,0.000000178
Te129m ,0.000000506
Te130 ,0.0000096
Te131 ,0.00080782
Te131m ,0.00229918
Te132 ,0.0156597
Te133 ,0.00968809
Te133m ,0.027574
Te134 ,0.0540198
Te135 ,0.037461
Te136 ,0.0190234
Te137 ,0.00545834
Te138 ,0.00115439
Te139 ,0.00015897
Te140 ,0.000013432
Te141 ,0.000000386258
Te142 ,0.0000000206995
Te143 ,3.24543E-11
Te144 ,3.53358E-12
Te145 ,2.11706E-13
I121 ,0
I123 ,0
I125 ,0
I126 ,0
I127 ,0
I128 ,0
I129 ,8.69E-14
I130 ,3.38E-12
I130m ,1.25E-12
I131 ,0.00001995
I132 ,0.000153605
I132m ,0.000153605
I133 ,0.00146601
I133m ,0.00146601
I134 ,0.0061288
I134m ,0.00544234
I135 ,0.028496
I136 ,0.0170381
I136m ,0.0169681
I137 ,0.0335899
I138 ,0.0170986
I139 ,0.00825673
I140 ,0.00183527
I141 ,0.000360534
I142 ,0.00003237
I143 ,0.000000715479
I144 ,0.0000000645465
I145 ,0.00000000466722
I146 ,7.55829E-12
I147 ,9.49793E-13
Xe124 ,0
Xe125 ,0
Xe125m ,0
Xe126 ,0
Xe127 ,0
Xe127m ,0
Xe128 ,0
Xe129 ,0
Xe129m ,0
Xe130 ,0
Xe131 ,0.00000000249
Xe131m ,0.00000000708
Xe132 ,0.000000665
Xe133 ,0.00000525
Xe133m ,0.00001493
Xe134 ,0.00009816
Xe134m ,0.0002654
Xe135 ,0.00065482
Xe135m ,0.0018606
Xe136 ,0.0108174
Xe137 ,0.0257304
Xe138 ,0.0401351
Xe139 ,0.0437141
Xe140 ,0.0314767
Xe141 ,0.0156098
Xe142 ,0.00529957
Xe143 ,0.000494797
Xe143m ,0.000494797
Xe144 ,0.000107745
Xe145 ,0.00000645533
Xe146 ,0.000000297992
Xe147 ,0.0000000310274
Xe148 ,8.77E-11
Xe149 ,1.06443E-12
Xe150 ,0
Cs127 ,0
Cs129 ,0
