Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Pd122 ,0.00000109
Pd123 ,0.0000000834
Pd124 ,0.00000000379
Pd125 ,0
Pd126 ,0
Pd127 ,0
Pd128 ,0
Pd129 ,0
Pd130 ,0
Ag103 ,0
Ag105 ,0
Ag105m ,0
Ag106 ,0
Ag106m ,0
Ag107 ,0
Ag107m ,0
Ag108 ,3.885E-13
Ag108m ,3.885E-13
Ag109 ,3.745E-11
Ag109m ,3.745E-11
Ag110 ,0
Ag110m ,0
Ag111 ,0
Ag111m ,0
Ag112 ,0
Ag113 ,4.02E-14
Ag113m ,2.69E-13
Ag114 ,5.87E-12
Ag115 ,4.88E-11
Ag115m ,4.88E-11
Ag116 ,0.00000261
Ag116m ,0.00000261
Ag117 ,0.00001359
Ag117m ,0.00001359
Ag118 ,0.0000473
Ag118m ,0.0000473
Ag119 ,0.00023009
Ag120 ,0.000098755
Ag120m ,0.000098755
Ag121 ,0.00010256
Ag122 ,0.00001908
Ag122m ,0.00001908
Ag123 ,0.00001312
Ag124 ,0.00000211
Ag125 ,6.53E-11
Ag126 ,9.8E-12
Ag127 ,8.01E-13
Ag128 ,4.75E-14
Ag129 ,2.67989E-15
Ag130 ,0
Ag131 ,1.13412E-10
Ag132 ,5.82617E-12
Ag133 ,5.44477E-13
Cd105 ,0
Cd106 ,0
Cd107 ,0
Cd108 ,0
Cd109 ,0
Cd110 ,0
Cd111 ,0
Cd111m ,0
Cd112 ,0
Cd113 ,0
Cd113m ,0
Cd114 ,0
Cd115 ,0
Cd115m ,0
Cd116 ,0.0000000108
Cd117 ,0.00000005
Cd117m ,0.000000167
Cd118 ,0.00000348
Cd119 ,0.00001325
Cd119m ,0.00001325
Cd120 ,0.00008841
Cd121 ,0.000063835
Cd121m ,0.000063835
Cd122 ,0.00017589
Cd123 ,0.00017676
Cd124 ,0.00011882
Cd125 ,0.00000693
Cd126 ,0.00000415
Cd127 ,0.0000012
Cd128 ,0.000000341
