Product , High (14 MeV) 
Product ,  
Product , Yield 
Nb95m ,0.00000503
Nb96 ,0.00007638
Nb97 ,0.00132281
Nb97m ,0.00016349
Nb98 ,0.00401967
Nb98m ,0.00070942
Nb99 ,0.00082089
Nb99m ,0.00943991
Nb100 ,0.0074504
Nb100m ,0.0074504
Nb101 ,0.0175659
Nb102 ,0.00814928
Nb102m ,0.00814928
Nb103 ,0.00955812
Nb104 ,0.00314482
Nb104m ,0.00314482
Nb105 ,0.00441256
Nb106 ,0.00134389
Nb107 ,0.000326797
Nb108 ,0.0000881
Nb109 ,0.0000127276
Nb110 ,0.00000172
Nb111 ,0.000000189624
Nb112 ,0.00000000254918
Nb113 ,2.56161E-10
Nb114 ,1.76835E-11
Mo90 ,0
Mo91 ,1.66E-14
Mo92 ,1.45E-12
Mo93 ,4.01E-11
Mo93m ,4.01E-11
Mo94 ,0.00000000272
Mo95 ,0.000000065
Mo96 ,0.00000117
Mo97 ,0.00001324
Mo98 ,0.00010047
Mo99 ,0.00052058
Mo100 ,0.00172405
Mo101 ,0.00443568
Mo102 ,0.00882564
Mo103 ,0.0107781
Mo104 ,0.0113195
Mo105 ,0.012235
Mo106 ,0.00772846
Mo107 ,0.00416449
Mo108 ,0.0024642
Mo109 ,0.0008237
Mo110 ,0.00026043
Mo111 ,0.0000491903
Mo112 ,0.00000776745
Mo113 ,0.000000720144
Mo114 ,0.0000000538823
Mo115 ,6.85182E-10
Mo116 ,9.54E-11
Mo117 ,2.22332E-11
Tc93 ,0
Tc95 ,7.38E-12
Tc95m ,9.12E-13
Tc97 ,0.00000000555
Tc97m ,0.00000000555
Tc98 ,0.000000209
Tc99 ,0.00000242
Tc99m ,0.000000299
Tc100 ,0.00002169
Tc101 ,0.00012914
Tc102 ,0.00029121
Tc102m ,0.00029121
Tc103 ,0.00154313
Tc104 ,0.00263307
Tc105 ,0.00439497
Tc106 ,0.00568379
Tc107 ,0.0065057
Tc108 ,0.00806243
Tc109 ,0.00585289
Tc110 ,0.00410536
Tc111 ,0.00176637
Tc112 ,0.00065912
Tc113 ,0.00014691
Tc114 ,0.00002637
Tc115 ,0.0000015148
Tc116 ,0.000000282
Tc117 ,0.0000000491532
Tc118 ,4.72435E-10
Tc119 ,4.3381E-11
Ru95 ,0
Ru96 ,0
Ru97 ,8.3E-13
Ru98 ,3.93E-11
Ru99 ,0.00000000131
Ru100 ,0.0000000261
Ru101 ,0.000000374
Ru102 ,0.00000402
Ru103 ,0.0000244
Ru104 ,0.00007009
Ru105 ,0.00018688
Ru106 ,0.00051928
Ru107 ,0.00130538
Ru108 ,0.00341378
Ru109 ,0.00263684
Ru109m ,0.00263684
Ru110 ,0.00786705
Ru111 ,0.00726361
Ru112 ,0.00604958
Ru113 ,0.00302811
Ru114 ,0.00126425
Ru115 ,0.000392955
Ru116 ,0.00007654
Ru117 ,0.0000127508
Ru118 ,0.00000143953
Ru119 ,0.000000121957
Ru120 ,0.00000000684
Ru121 ,3.42707E-10
Ru122 ,1.01E-11
Ru124 ,0
Rh99 ,5.58E-14
Rh101 ,1.09E-11
Rh101m ,8.81E-11
Rh102 ,0.0000000013
Rh102m ,0.0000000013
Rh103 ,0.00000000298
Rh103m ,0.0000000343
Rh104 ,0.0000000277
Rh104m ,0.000000157
Rh105 ,0.000000752
Rh105m ,0.0000000566
Rh106 ,0.00000254
Rh106m ,0.00000254
Rh107 ,0.00002968
Rh108 ,0.0000866
Rh108m ,0.0000866
Rh109 ,0.00029878
Rh109m ,0.00029878
Rh110 ,0.0009728
Rh110m ,0.0009728
Rh111 ,0.00385364
Rh112 ,0.00696207
Rh113 ,0.007422
Rh114 ,0.00682538
Rh115 ,0.00468766
Rh116 ,0.0020937
Rh117 ,0.00080574
Rh118 ,0.00021773
Rh119 ,0.00004384
Rh120 ,0.00000608
Rh121 ,0.000000757657
Rh122 ,0.0000000534
Rh123 ,0.00000000316
Rh124 ,1.16E-10
Rh125 ,8.07171E-12
