Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
As75 ; 1.34002E-11 ; 8.5761E-12
As76 ; 7.10008E-10 ; 4.54405E-10
As77 ; 3.81004E-8 ; 2.43843E-8
As78 ; 1.10001E-6 ; 7.04008E-7
As79 ; 1.41702E-5 ; 9.0689E-6
As80 ; 8.6851E-5 ; 5.55846E-5
As81 ; 4.83505E-4 ; 3.09444E-4
As82 ; 6.20807E-4 ; 3.97317E-4
As82m ; 6.20807E-4 ; 3.97317E-4
As83 ; 0.00269701 ; 0.00172609
As84 ; 0.00160337 ; 0.00102616
As84m ; 0.00160337 ; 0.00102616
As85 ; 0.00238959 ; 0.00152934
As86 ; 9.63311E-4 ; 6.16519E-4
As87 ; 2.84013E-4 ; 1.81768E-4
As88 ; 5.48406E-5 ; 3.5098E-5
As89 ; 5.90483E-6 ; 3.77909E-6
As90 ; 1.14977E-7 ; 7.35855E-8
As91 ; 1.48453E-8 ; 9.50098E-9
As92 ; 3.05042E-11 ; 1.95227E-11
As93 ; 1.58871E-12 ; 1.01677E-12
As94 ; 3.53207E-14 ; 2.26052E-14
Se72 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0
Se75 ; 0.0 ; 0.0
Se76 ; 6.19007E-14 ; 3.96165E-14
Se77 ; 1.16001E-12 ; 7.42408E-13
Se77m ; 8.4801E-12 ; 5.42726E-12
Se78 ; 1.25001E-9 ; 8.00009E-10
Se79 ; 4.24005E-8 ; 2.71363E-8
Se79m ; 5.79007E-9 ; 3.70564E-9
Se80 ; 1.26001E-6 ; 8.06409E-7
Se81 ; 2.33003E-6 ; 1.49122E-6
Se81m ; 1.71002E-5 ; 1.09441E-5
Se82 ; 1.98322E-4 ; 1.26926E-4
Se83 ; 8.786E-4 ; 5.62304E-4
Se83m ; 1.79952E-4 ; 1.15169E-4
Se84 ; 0.00423021 ; 0.00270733
Se85 ; 0.00376431 ; 0.00240916
Se85m ; 0.0037238 ; 0.00238323
Se86 ; 0.0110213 ; 0.00352683
Se87 ; 0.00826688 ; 0.00529081
Se88 ; 0.00636314 ; 0.00407241
Se89 ; 0.00194543 ; 0.00124508
Se90 ; 3.77949E-4 ; 2.41888E-4
Se91 ; 3.61156E-5 ; 2.3114E-5
Se92 ; 2.85E-6 ; 1.824E-6
Se93 ; 1.09854E-7 ; 7.03063E-8
Se94 ; 3.3E-9 ; 2.112E-9
Se95 ; 7.84663E-12 ; 5.02184E-12
Se96 ; 3.99005E-13 ; 2.55363E-13
Br75 ; 0.0 ; 0.0
Br77 ; 0.0 ; 0.0
Br77m ; 0.0 ; 0.0
Br78 ; 1.65002E-14 ; 1.05601E-14
Br79 ; 6.37007E-13 ; 4.07685E-13
Br79m ; 2.40003E-12 ; 1.53602E-12
Br80 ; 5.21006E-11 ; 3.33444E-11
Br80m ; 1.85002E-10 ; 1.18401E-10
Br81 ; 1.68002E-8 ; 1.07521E-8
