Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
Y92 ,0.00005443
Y93 ,0.00029801
Y93m ,0.00029801
Y94 ,0.00306045
Y95 ,0.0132872
Y96 ,0.00243738
Y96m ,0.0219364
Y97 ,0.01934
Y97m ,0.01934
Y98 ,0.0163782
Y98m ,0.0163775
Y99 ,0.0261666
Y100 ,0.0075229
Y101 ,0.0030077
Y102 ,0.00035425
Y103 ,0.0000471005
Y104 ,0.00000186
Y105 ,0.0000000417535
Y106 ,0.00000000430906
Y107 ,0
Y108 ,0
Y109 ,0
Y111 ,0
Zr87 ,0
Zr88 ,0
Zr89 ,2.56E-14
Zr90 ,2.37E-12
Zr90m ,2.37E-12
Zr91 ,4.25E-10
Zr92 ,0.0000000297
Zr93 ,0.000000932
Zr94 ,0.00002154
Zr95 ,0.00023803
Zr96 ,0.00178588
Zr97 ,0.00675353
Zr98 ,0.0203619
Zr99 ,0.0351406
Zr100 ,0.035816
Zr101 ,0.0319338
Zr102 ,0.0147489
Zr103 ,0.00501726
Zr104 ,0.00085146
Zr105 ,0.0000742783
Zr106 ,0.00000766569
Zr107 ,6.90203E-13
Zr108 ,1.44E-13
Zr109 ,2.42273E-15
Zr110 ,0
Zr111 ,1.75812E-17
Zr112 ,2.65284E-14
Nb89 ,0
Nb90 ,0
Nb91 ,0
Nb92 ,4.53E-13
Nb93 ,5.52E-11
Nb93m ,1.29E-11
Nb94 ,0.00000000272
Nb94m ,0.00000000189
Nb95 ,0.000000193
Nb95m ,0.0000000452
Nb96 ,0.00000504
Nb97 ,0.00006802
Nb97m ,0.00001595
Nb98 ,0.00048068
Nb98m ,0.00016023
Nb99 ,0.00034191
Nb99m ,0.00393169
Nb100 ,0.00492543
Nb100m ,0.00492543
Nb101 ,0.0299403
Nb102 ,0.0150267
Nb102m ,0.0150267
Nb103 ,0.0368135
Nb104 ,0.00733286
Nb104m ,0.00733286
Nb105 ,0.00514229
Nb106 ,0.00147195
Nb107 ,0.00001131
Nb108 ,0.000000867
Nb109 ,0.0000000397
Nb110 ,9.23E-10
Nb111 ,2.88094E-10
Nb112 ,8.42711E-10
Nb113 ,1.9767E-13
Nb114 ,1.22222E-14
Nb115 ,1.30536E-15
Mo90 ,0
Mo91 ,0
Mo92 ,0
Mo93 ,0
Mo93m ,0
Mo94 ,4.59E-14
Mo95 ,7.01E-12
Mo96 ,7.12E-10
Mo97 ,0.0000000343
Mo98 ,0.00000118
Mo99 ,0.00002119
Mo100 ,0.00020498
Mo101 ,0.00150356
Mo102 ,0.00567184
Mo103 ,0.0153866
Mo104 ,0.0214546
Mo105 ,0.0164015
Mo106 ,0.0182677
Mo107 ,0.00716271
Mo108 ,0.00296039
Mo109 ,0.00051048
Mo110 ,0.00007513
Mo111 ,0.00000295971
Mo112 ,0.00000149916
Mo113 ,0.00000000938013
Mo114 ,5.79988E-10
Mo115 ,6.1944E-11
Mo116 ,3.71E-14
Mo117 ,1.13541E-15
Tc93 ,0
Tc95 ,0
Tc95m ,0
Tc97 ,3.33E-13
Tc97m ,3.33E-13
Tc98 ,6.56E-11
Tc99 ,0.00000000425
Tc99m ,9.97E-10
Tc100 ,0.000000146
Tc101 ,0.0000046
Tc102 ,0.00002307
Tc102m ,0.00002307
Tc103 ,0.00051649
Tc104 ,0.00172761
Tc105 ,0.00489219
Tc106 ,0.012531
Tc107 ,0.016749
Tc108 ,0.0141551
Tc109 ,0.00939825
Tc110 ,0.00375866
Tc111 ,0.00073526
Tc112 ,0.00008941
Tc113 ,0.0000111706
Tc114 ,0.000000805
Tc115 ,0.000000073768
Tc116 ,8.95E-10
Tc117 ,3.6068E-11
Tc118 ,5.50001E-14
Tc119 ,9.35633E-16
Ru95 ,0
Ru96 ,0
Ru97 ,0
Ru98 ,0
Ru99 ,3.84E-14
Ru100 ,4.99E-12
Ru101 ,3.81E-10
Ru102 ,0.0000000199
Ru103 ,0.000000617
Ru104 ,0.0000094
Ru105 ,0.00006682
Ru106 ,0.00073019
Ru107 ,0.00018194
Ru108 ,0.00066102
Ru109 ,0.00054534
Ru109m ,0.00054534
Ru110 ,0.00155572
Ru111 ,0.0006251
Ru112 ,0.00039288
Ru113 ,0.00016214
Ru114 ,0.00006097
Ru115 ,0.00000567617
Ru116 ,0.00000104
Ru117 ,0.0000000641639
Ru118 ,0.00000000260995
Ru119 ,4.43991E-11
Ru120 ,4.77E-13
Ru121 ,4.9107E-15
Ru122 ,0
Ru124 ,0
Rh99 ,0
Rh101 ,0
Rh101m ,0
Rh102 ,1.24E-13
Rh102m ,1.24E-13
Rh103 ,4.21E-12
Rh103m ,2.82E-11
Rh104 ,3.88E-10
Rh104m ,0.00000000116
Rh105 ,0.0000000435
Rh105m ,0.0000000065
Rh106 ,0.000000799
Rh106m ,0.000000799
Rh107 ,0.00000000181
Rh108 ,0.000000012
Rh108m ,0.000000012
Rh109 ,0.000000122
Rh109m ,0.000000122
Rh110 ,0.000000636
Rh110m ,0.000000636
Rh111 ,0.00000282
Rh112 ,0.0000998
Rh113 ,0.00020308
Rh114 ,0.00021069
Rh115 ,0.00008447
Rh116 ,0.00004179
Rh117 ,0.00001222
Rh118 ,0.00000157
Rh119 ,0.000000141
Rh120 ,0.00000000503
Rh121 ,1.55995E-10
Rh122 ,2.16E-12
