Product ; High (14 MeV) ; High (14 MeV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Br84m ; 0.00238825 ; 0.00152848 ; 0.00131271 ; 8.40135E-4
Br85 ; 0.0100602 ; 0.00321926 ; 0.00664215 ; 0.00425098
Br86 ; 0.00622964 ; 0.00398697 ; 0.00759113 ; 0.00485832
Br86m ; 0.0062279 ; 0.00398586 ; 0.00758725 ; 0.00485584
Br87 ; 0.0165865 ; 0.00530769 ; 0.016141 ; 0.00516512
Br88 ; 0.0127451 ; 0.00407844 ; 0.0123102 ; 0.00393926
Br89 ; 0.00674383 ; 0.00431605 ; 0.00932726 ; 0.00596944
Br90 ; 0.00227561 ; 0.00145639 ; 0.00278164 ; 0.00178025
Br91 ; 5.2185E-4 ; 3.33984E-4 ; 7.31101E-4 ; 4.67904E-4
Br92 ; 8.399E-5 ; 5.37536E-5 ; 7.65401E-5 ; 4.89856E-5
Br93 ; 8.74604E-6 ; 5.59747E-6 ; 6.80958E-6 ; 4.35813E-6
Br94 ; 7.73E-7 ; 4.9472E-7 ; 2.7E-7 ; 1.728E-7
Br95 ; 1.1848E-8 ; 7.58271E-9 ; 2.33562E-8 ; 1.4948E-8
Br96 ; 1.67E-9 ; 1.0688E-9 ; 1.45E-10 ; 9.28001E-11
Br97 ; 7.85836E-11 ; 5.02935E-11 ; 2.53002E-12 ; 1.61921E-12
Kr77 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr78 ; 1.2E-13 ; 7.68E-14 ; 0.0 ; 0.0
Kr79 ; 4.69E-12 ; 3.0016E-12 ; 4.025E-14 ; 2.576E-14
Kr79m ; 4.69E-12 ; 3.0016E-12 ; 4.025E-14 ; 2.576E-14
Kr80 ; 4.45E-10 ; 2.848E-10 ; 1.23E-11 ; 7.87201E-12
Kr81 ; 2.2E-8 ; 1.408E-8 ; 9.77001E-10 ; 6.2528E-10
Kr81m ; 1.66E-9 ; 1.0624E-9 ; 1.33E-10 ; 8.51201E-11
Kr82 ; 7.72E-7 ; 4.9408E-7 ; 8.42001E-8 ; 5.3888E-8
Kr83 ; 1.233E-5 ; 7.8912E-6 ; 2.31E-6 ; 1.4784E-6
Kr83m ; 1.52E-6 ; 9.728E-7 ; 4.73E-7 ; 3.0272E-7
Kr84 ; 1.3608E-4 ; 8.70912E-5 ; 5.506E-5 ; 3.52384E-5
Kr85 ; 0.00101413 ; 6.49043E-4 ; 3.793E-4 ; 2.42752E-4
Kr85m ; 1.2535E-4 ; 8.0224E-5 ; 7.76901E-5 ; 4.97216E-5
Kr86 ; 0.00341988 ; 0.00218872 ; 0.00407572 ; 0.00260846
Kr87 ; 0.0107141 ; 0.00342851 ; 0.00868016 ; 0.00390607
Kr88 ; 0.01972 ; 0.0063104 ; 0.024174 ; 0.00773567
Kr89 ; 0.0243306 ; 0.00778579 ; 0.0383483 ; 0.0122714
Kr90 ; 0.0199822 ; 0.00639431 ; 0.0418305 ; 0.0133858
Kr91 ; 0.0111753 ; 0.0035761 ; 0.0253967 ; 0.00812694
Kr92 ; 0.00440797 ; 0.0028211 ; 0.010742 ; 0.00343744
Kr93 ; 0.00115066 ; 7.36422E-4 ; 0.00235236 ; 0.00150551
