Product ,  , 
Product ,  , 
Product , Yield , Error
Mo102 ,7.89143E-03,5.05052E-03
Mo103 ,7.50818E-03,4.80524E-03
Mo104 ,7.45229E-03,4.76947E-03
Mo105 ,3.59543E-03,2.30108E-03
Mo106 ,2.05332E-03,1.31412E-03
Mo107 ,8.55279E-04,5.47378E-04
Mo108 ,4.53389E-04,2.90169E-04
Mo109 ,6.52684E-05,4.17718E-05
Mo110 ,9.18977E-06,5.88145E-06
Mo111 ,3.28778E-07,2.10418E-07
Mo112 ,9.46956E-09,6.06052E-09
Mo113 ,2.95427E-10,1.89073E-10
Mo114 ,4.63988E-12,2.96953E-12
Mo115 ,3.36238E-14,2.15192E-14
Mo116 ,0.00000E+00,0.00000E+00
Tc93 ,0.00000E+00,0.00000E+00
Tc95 ,0.00000E+00,0.00000E+00
Tc95m ,0.00000E+00,0.00000E+00
Tc97 ,9.04977E-12,5.79185E-12
Tc97m ,9.04977E-12,5.79185E-12
Tc98 ,8.81978E-10,5.64466E-10
Tc99 ,3.36992E-08,2.15675E-08
Tc99m ,7.89980E-09,5.05587E-09
Tc100 ,7.46981E-07,4.78068E-07
Tc101 ,8.55979E-06,5.47826E-06
Tc102 ,3.45391E-05,2.21050E-05
Tc102m ,3.45391E-05,2.21050E-05
Tc103 ,4.58438E-04,1.05441E-04
Tc104 ,5.75676E-04,3.68432E-04
Tc105 ,5.96055E-04,3.81475E-04
Tc106 ,3.15162E-04,2.01704E-04
Tc107 ,2.80413E-04,1.79464E-04
Tc108 ,2.97963E-04,1.90696E-04
Tc109 ,2.07295E-04,1.32669E-04
Tc110 ,9.04277E-05,5.78737E-05
Tc111 ,1.87795E-05,1.20189E-05
Tc112 ,1.69996E-06,1.08797E-06
Tc113 ,2.04699E-07,1.31008E-07
Tc114 ,1.16997E-08,7.48781E-09
Tc115 ,5.25088E-10,3.36056E-10
Tc116 ,1.19997E-11,7.67981E-12
Tc117 ,1.11806E-13,7.15559E-14
Tc118 ,3.03973E-15,1.94543E-15
Tc119 ,  ,  
Ru95 ,0.00000E+00,0.00000E+00
Ru96 ,0.00000E+00,0.00000E+00
Ru97 ,0.00000E+00,0.00000E+00
Ru98 ,1.45996E-14,9.34377E-15
Ru99 ,1.78996E-12,1.14557E-12
Ru100 ,1.44996E-10,9.27977E-11
Ru101 ,4.12990E-09,2.64313E-09
Ru102 ,1.46996E-07,9.40776E-08
Ru103 ,1.71996E-06,1.10077E-06
Ru104 ,1.96995E-09,1.26077E-09
Ru105 ,1.17477E-04,7.51853E-05
Ru106 ,5.56686E-05,1.28038E-05
Ru107 ,8.10980E-07,5.19027E-07
Ru108 ,5.15987E-06,3.30232E-06
Ru109 ,5.92385E-05,3.79126E-05
Ru109m ,5.92385E-05,3.79126E-05
Ru110 ,2.71813E-04,1.73960E-04
Ru111 ,1.50866E-04,9.65544E-05
Ru112 ,6.91683E-05,4.42677E-05
Ru113 ,2.24794E-05,1.43868E-05
Ru114 ,5.70986E-06,3.65431E-06
Ru115 ,8.08455E-07,5.17411E-07
Ru116 ,7.39981E-08,4.73588E-08
Ru117 ,3.87979E-09,2.48307E-09
Ru118 ,1.43993E-10,9.21557E-11
Ru119 ,2.33994E-12,1.49756E-12
Ru120 ,2.75993E-14,1.76636E-14
Ru121 ,6.40288E-16,4.09785E-16
Ru122 ,0.00000E+00,0.00000E+00
Ru124 ,0.00000E+00,0.00000E+00
Rh99 ,0.00000E+00,0.00000E+00
Rh101 ,0.00000E+00,0.00000E+00
Rh101m ,3.12992E-14,2.00315E-14
Rh102 ,1.67996E-12,1.07517E-12
Rh102m ,1.67996E-12,1.07517E-12
Rh103 ,2.31994E-11,1.48476E-11
Rh103m ,1.54996E-10,9.91975E-11
Rh104 ,0.00000E+00,0.00000E+00
Rh104m ,0.00000E+00,0.00000E+00
Rh105 ,0.00000E+00,0.00000E+00
Rh105m ,0.00000E+00,0.00000E+00
Rh106 ,1.24997E-07,7.99980E-08
Rh106m ,1.24997E-07,7.99980E-08
Rh107 ,8.96977E-13,5.74066E-13
Rh108 ,1.07997E-11,6.91183E-12
Rh108m ,1.07997E-11,6.91183E-12
Rh109 ,1.04997E-06,6.71983E-07
Rh109m ,1.04997E-06,6.71983E-07
Rh110 ,7.78980E-06,4.98547E-06
Rh110m ,7.78980E-06,4.98547E-06
Rh111 ,4.40189E-05,2.81721E-05
Rh112 ,5.02087E-05,3.21336E-05
Rh113 ,7.13982E-05,4.56949E-05
Rh114 ,3.83290E-05,2.45306E-05
Rh115 ,2.31594E-05,1.48220E-05
Rh116 ,5.24987E-06,3.35992E-06
Rh117 ,1.31997E-06,8.44779E-07
Rh118 ,1.29997E-07,8.31979E-08
Rh119 ,1.06997E-08,6.84783E-09
Rh120 ,3.45991E-10,2.21434E-10
Rh121 ,9.99911E-12,6.39943E-12
Rh122 ,1.90995E-13,1.22237E-13
Rh123 ,0.00000E+00,0.00000E+00
Rh124 ,0.00000E+00,0.00000E+00
Pd99 ,0.00000E+00,0.00000E+00
Pd101 ,0.00000E+00,0.00000E+00
Pd102 ,0.00000E+00,0.00000E+00
Pd103 ,0.00000E+00,0.00000E+00
Pd104 ,0.00000E+00,0.00000E+00
Pd105 ,0.00000E+00,0.00000E+00
