Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ge71m ; 6.11985E-13 ; 3.9167E-13 ; 1.72E-12 ; 1.1008E-12 ; 3.22E-10 ; 2.0608E-10
Ge72 ; 9.24977E-11 ; 5.91985E-11 ; 2.64E-10 ; 1.6896E-10 ; 1.37E-8 ; 8.76799E-9
Ge73 ; 2.72993E-9 ; 1.74716E-9 ; 6.23E-9 ; 3.9872E-9 ; 1.62E-7 ; 1.0368E-7
Ge73m ; 6.39984E-10 ; 4.0959E-10 ; 1.28E-9 ; 8.192E-10 ; 2.01E-8 ; 1.2864E-8
Ge74 ; 8.48979E-8 ; 5.43346E-8 ; 1.77E-7 ; 1.1328E-7 ; 1.71E-6 ; 1.0944E-6
Ge75 ; 2.06995E-7 ; 1.32477E-7 ; 3.98E-7 ; 2.5472E-7 ; 9.599991E-7 ; 6.144E-7
Ge75m ; 1.38997E-6 ; 8.89578E-7 ; 2.92E-6 ; 1.8688E-6 ; 1.104E-5 ; 7.0656E-6
Ge76 ; 1.43896E-5 ; 9.20937E-6 ; 2.839E-5 ; 1.81696E-5 ; 6.106E-5 ; 3.90784E-5
Ge77 ; 6.35684E-5 ; 4.06838E-5 ; 1.1409E-4 ; 7.30176E-5 ; 2.1439E-4 ; 1.3721E-4
Ge77m ; 9.49976E-6 ; 6.07985E-6 ; 1.556E-5 ; 9.9584E-6 ; 1.614E-5 ; 1.03296E-5
Ge78 ; 3.27492E-4 ; 2.09595E-4 ; 4.0593E-4 ; 2.59795E-4 ; 6.342E-4 ; 4.05888E-4
Ge79 ; 5.70241E-4 ; 3.64954E-4 ; 3.4899E-4 ; 2.23354E-4 ; 6.3436E-4 ; 4.0599E-4
Ge79m ; 5.70241E-4 ; 3.64954E-4 ; 3.4899E-4 ; 2.23354E-4 ; 6.3436E-4 ; 4.0599E-4
Ge80 ; 0.00180869 ; 0.00115756 ; 0.00143116 ; 9.15942E-4 ; 0.00176903 ; 0.00113218
Ge81 ; 0.00134454 ; 8.60503E-4 ; 0.00135591 ; 8.67782E-4 ; 0.0019015 ; 0.00121696
Ge82 ; 8.19329E-4 ; 5.24371E-4 ; 8.4425E-4 ; 5.4032E-4 ; 0.00131477 ; 8.41452E-4
Ge83 ; 2.47504E-4 ; 1.58402E-4 ; 2.7431E-4 ; 1.75558E-4 ; 6.1154E-4 ; 3.91385E-4
Ge84 ; 1.72596E-4 ; 1.10461E-4 ; 5.783E-5 ; 3.70112E-5 ; 1.7495E-4 ; 1.11968E-4
Ge85 ; 1.31697E-5 ; 8.42859E-6 ; 6.04E-6 ; 3.8656E-6 ; 2.359E-5 ; 1.50976E-5
