Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Cu70 ; 8.11E-10 ; 5.1904E-10 ; 1.28E-8 ; 8.192E-9 ; 1.85E-9 ; 1.184E-9
Cu70m ; 2.43E-9 ; 1.5552E-9 ; 4.55E-8 ; 2.912E-8 ; 5.55E-9 ; 3.552E-9
Cu71 ; 1.09E-8 ; 6.976E-9 ; 2.43E-7 ; 1.5552E-7 ; 2.23E-8 ; 1.4272E-8
Cu72 ; 5.34E-8 ; 3.4176E-8 ; 6.86E-7 ; 4.3904E-7 ; 6.43E-8 ; 4.1152E-8
Cu73 ; 1.63E-7 ; 1.0432E-7 ; 1.32E-6 ; 8.448E-7 ; 1.03E-7 ; 6.592E-8
Cu74 ; 2.56E-7 ; 1.6384E-7 ; 2.57E-6 ; 1.6448E-6 ; 2.11E-7 ; 1.3504E-7
Cu75 ; 3.23E-7 ; 2.0672E-7 ; 1.96E-6 ; 1.2544E-6 ; 1.15E-7 ; 7.36E-8
Cu76 ; 1.96E-7 ; 1.2544E-7 ; 1.23E-6 ; 7.872E-7 ; 1.81E-7 ; 1.1584E-7
Cu77 ; 2.94E-7 ; 1.8816E-7 ; 8.31E-7 ; 5.3184E-7 ; 1.31E-6 ; 8.384E-7
Cu78 ; 9.5E-8 ; 6.08E-8 ; 2.36E-7 ; 1.5104E-7 ; 7.5E-7 ; 4.8E-7
Cu79 ; 9.83942E-9 ; 6.29723E-9 ; 5.7596E-8 ; 3.68614E-8 ; 2.1602E-7 ; 1.38253E-7
Cu80 ; 1.38E-9 ; 8.832E-10 ; 5.57E-9 ; 3.5648E-9 ; 4.35E-8 ; 2.784E-8
Cu81 ; 1.13995E-10 ; 7.29567E-11 ; 4.10971E-10 ; 2.63022E-10 ; 5.29799E-9 ; 3.39071E-9
Cu82 ; 4.04E-12 ; 2.5856E-12 ; 1.39E-11 ; 8.896E-12 ; 3.86E-10 ; 2.4704E-10
Cu83 ; 1.44509E-13 ; 9.24858E-14 ; 3.63975E-13 ; 2.32944E-13 ; 1.63132E-11 ; 1.04405E-11
Cu84 ; 6.00743E-15 ; 3.84475E-15 ; 1.77568E-14 ; 1.13643E-14 ; 8.16579E-13 ; 5.2261E-13
Zn66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zn67 ; 0.0 ; 0.0 ; 2.52E-13 ; 1.6128E-13 ; 8.65E-14 ; 5.536E-14
Zn68 ; 1.34E-13 ; 8.576E-14 ; 7.01E-12 ; 4.4864E-12 ; 1.69E-12 ; 1.0816E-12
Zn69 ; 6.85E-13 ; 4.384E-13 ; 1.81E-11 ; 1.1584E-11 ; 5.71E-12 ; 3.6544E-12
Zn69m ; 2.92E-12 ; 1.8688E-12 ; 8.84E-11 ; 5.6576E-11 ; 2.43E-11 ; 1.5552E-11
Zn70 ; 1.13E-10 ; 7.232E-11 ; 2.23E-9 ; 1.4272E-9 ; 3.4E-10 ; 2.176E-10
Zn71 ; 1.82E-10 ; 1.1648E-10 ; 3.82E-9 ; 2.4448E-9 ; 4.57E-10 ; 2.9248E-10
Zn71m ; 7.76E-10 ; 4.9664E-10 ; 1.86E-8 ; 1.1904E-8 ; 1.95E-9 ; 1.248E-9
Zn72 ; 1.5E-8 ; 9.6E-9 ; 1.91E-7 ; 1.2224E-7 ; 1.59E-8 ; 1.0176E-8
Zn73 ; 1.02E-7 ; 6.528E-8 ; 8.19E-7 ; 5.2416E-7 ; 5.61E-8 ; 3.5904E-8
Zn74 ; 4.85E-7 ; 3.104E-7 ; 4.57E-6 ; 2.9248E-6 ; 2.54E-7 ; 1.6256E-7
Zn75 ; 1.36E-6 ; 8.704E-7 ; 7.67E-6 ; 4.9088E-6 ; 3.02E-7 ; 1.9328E-7
Zn76 ; 2.59E-6 ; 1.6576E-6 ; 1.439E-5 ; 9.2096E-6 ; 1.08E-6 ; 6.912E-7
Zn77 ; 9.63E-6 ; 6.1632E-6 ; 2.361E-5 ; 1.51104E-5 ; 1.774E-5 ; 1.13536E-5
Zn78 ; 1.044E-5 ; 6.6816E-6 ; 2.119E-5 ; 1.35616E-5 ; 2.409E-5 ; 1.54176E-5
Zn79 ; 2.92E-6 ; 1.8688E-6 ; 1.362E-5 ; 8.7168E-6 ; 1.697E-5 ; 1.08608E-5
Zn80 ; 1.46E-6 ; 9.344E-7 ; 4.41E-6 ; 2.8224E-6 ; 8.28E-6 ; 5.2992E-6
Zn81 ; 3.43E-7 ; 2.1952E-7 ; 9.02E-7 ; 5.7728E-7 ; 2.55E-6 ; 1.632E-6
Zn82 ; 4.53E-8 ; 2.8992E-8 ; 1.09E-7 ; 6.976E-8 ; 4.76E-7 ; 3.0464E-7
Zn83 ; 4.73986E-9 ; 3.03351E-9 ; 8.46964E-9 ; 5.42057E-9 ; 6.94837E-8 ; 4.44696E-8
