Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
Se96 ; 1.25E-14 ; 7.99999E-15 ; 6.05E-14 ; 3.872E-14
Br75 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br77m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Br78 ; 3.47E-12 ; 2.2208E-12 ; 3.13E-13 ; 2.0032E-13
Br79 ; 1.76E-11 ; 1.1264E-11 ; 6.82E-12 ; 4.3648E-12
Br79m ; 5.89E-11 ; 3.7696E-11 ; 2.57E-11 ; 1.6448E-11
Br80 ; 9.30999E-10 ; 5.9584E-10 ; 3.63E-10 ; 2.3232E-10
Br80m ; 2.79E-9 ; 1.7856E-9 ; 1.29E-9 ; 8.256E-10
Br81 ; 1.31E-7 ; 8.38399E-8 ; 5.58E-8 ; 3.5712E-8
Br82 ; 2.26E-6 ; 1.4464E-6 ; 7.38E-7 ; 4.7232E-7
Br82m ; 9.67999E-7 ; 6.1952E-7 ; 2.73E-7 ; 1.7472E-7
Br83 ; 3.251E-5 ; 2.08064E-5 ; 1.317E-5 ; 8.4288E-6
Br84 ; 8.98299E-5 ; 5.74912E-5 ; 3.481E-5 ; 2.22784E-5
Br84m ; 1.597E-4 ; 1.02208E-4 ; 7.398E-5 ; 4.73472E-5
Br85 ; 9.43459E-4 ; 6.03814E-4 ; 6.3683E-4 ; 4.07571E-4
Br86 ; 0.0012527 ; 8.01727E-4 ; 8.5796E-4 ; 5.49094E-4
Br86m ; 0.00128228 ; 8.20659E-4 ; 8.5796E-4 ; 5.49094E-4
Br87 ; 0.00436826 ; 6.98921E-4 ; 0.00414789 ; 0.00186655
Br88 ; 0.00488706 ; 5.37576E-4 ; 0.00509567 ; 0.00326123
Br89 ; 0.00398528 ; 4.3838E-4 ; 0.00478215 ; 0.00306058
Br90 ; 0.00249861 ; 3.99777E-4 ; 0.00226942 ; 0.00145243
Br91 ; 5.6202E-4 ; 3.59693E-4 ; 9.2073E-4 ; 5.89267E-4
Br92 ; 1.2492E-4 ; 7.99487E-5 ; 1.9937E-4 ; 1.27597E-4
Br93 ; 5.4001E-5 ; 3.45607E-5 ; 2.9848E-5 ; 1.91027E-5
Br94 ; 1.05E-6 ; 6.71999E-7 ; 2.13E-6 ; 1.3632E-6
Br95 ; 5.74641E-8 ; 3.6777E-8 ; 1.13747E-7 ; 7.27982E-8
Br96 ; 1.45E-9 ; 9.27999E-10 ; 3.47E-9 ; 2.2208E-9
Br97 ; 1.30936E-11 ; 8.37991E-12 ; 3.67326E-11 ; 2.35089E-11
Br98 ; 4.71842E-13 ; 3.01979E-13 ; 1.49644E-12 ; 9.57721E-13
Kr77 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr78 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr79 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr79m ; 0.0 ; 0.0 ; 0.0 ; 0.0
Kr80 ; 2.74E-13 ; 1.7536E-13 ; 9.8E-14 ; 6.272E-14
Kr81 ; 2.81E-11 ; 1.7984E-11 ; 8.3E-12 ; 5.312E-12
