Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
Zn71m ; 5.94E-9 ; 3.8016E-9 ; 3.81E-8 ; 2.4384E-8 ; 1.66147E-5 ; 1.06334E-5
Zn72 ; 5.83E-8 ; 3.7312E-8 ; 3.23E-7 ; 2.0672E-7 ; 6.00969E-5 ; 3.8462E-5
Zn73 ; 3.3E-7 ; 2.112E-7 ; 1.58E-6 ; 1.0112E-6 ; 1.45661E-4 ; 9.3223E-5
Zn74 ; 1.66E-6 ; 1.0624E-6 ; 3.97E-6 ; 2.5408E-6 ; 2.51361E-4 ; 1.60871E-4
Zn75 ; 2.63E-6 ; 1.6832E-6 ; 7.8E-6 ; 4.992E-6 ; 2.97844E-4 ; 1.9062E-4
Zn76 ; 8.84E-6 ; 5.6576E-6 ; 2.489E-5 ; 1.59296E-5 ; 2.70686E-4 ; 1.73239E-4
Zn77 ; 8.76E-6 ; 5.6064E-6 ; 2.117E-5 ; 1.35488E-5 ; 1.82491E-4 ; 1.16794E-4
Zn78 ; 9.36E-6 ; 5.9904E-6 ; 1.665E-5 ; 1.0656E-5 ; 7.88122E-5 ; 5.04398E-5
Zn79 ; 3.62E-6 ; 2.3168E-6 ; 8.8E-6 ; 5.632E-6 ; 2.4737E-5 ; 1.58316E-5
Zn80 ; 6.64E-7 ; 4.2496E-7 ; 2.63E-6 ; 1.6832E-6 ; 4.94139E-6 ; 3.16249E-6
Zn81 ; 1.6E-7 ; 1.024E-7 ; 4.66E-7 ; 2.9824E-7 ; 6.54184E-7 ; 4.18678E-7
Zn82 ; 1.11E-8 ; 7.104E-9 ; 3.56E-8 ; 2.2784E-8 ; 5.85164E-8 ; 3.74505E-8
Zn83 ; 4.31991E-10 ; 2.76474E-10 ; 1.33994E-9 ; 8.57562E-10 ; 2.96044E-9 ; 1.89468E-9
Zn84 ; 8.56E-12 ; 5.4784E-12 ; 3.38E-11 ; 2.1632E-11 ; 9.93279E-11 ; 6.35699E-11
Zn85 ; 2.54034E-13 ; 1.62582E-13 ; 1.16501E-12 ; 7.45609E-13 ; 5.17571E-12 ; 3.31246E-12
Zn86 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.36094E-14 ; 2.151E-14
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.69048E-14 ; 1.0819E-14
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.20034E-12 ; 7.68216E-13
Ga68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4.36123E-11 ; 2.79118E-11
Ga69 ; 1.34E-14 ; 8.576E-15 ; 0.0 ; 0.0 ; 1.22034E-9 ; 7.8102E-10
