Product , Th232  Fast (500 keV) 
Product ,  
Product , Yield 
Rh99 ,0
Rh101 ,0
Rh101m ,0
Rh102 ,0
Rh102m ,0
Rh103 ,0
Rh103m ,0
Rh104 ,0
Rh104m ,0
Rh105 ,0
Rh105m ,0
Rh106 ,0
Rh106m ,0
Rh107 ,2.30995E-12
Rh108 ,1.70996E-10
Rh108m ,1.70996E-10
Rh109 ,0.0000000129997
Rh109m ,0.0000000129997
Rh110 ,0.000000386991
Rh110m ,0.000000386991
Rh111 ,0.0000103898
Rh112 ,0.0000620586
Rh113 ,0.000223435
Rh114 ,0.000370592
Rh115 ,0.00046238
Rh116 ,0.000282964
Rh117 ,0.000149707
Rh118 ,0.0000356692
Rh119 ,0.00000748983
Rh120 ,0.000000846981
Rh121 ,0.0000000522709
Rh122 ,0.00000000127997
Rh123 ,2.5099E-11
Rh124 ,2.37995E-13
Rh125 ,2.13047E-15
Rh126 ,  
Rh127 ,  
Rh128 ,  
Pd99 ,0
Pd101 ,0
Pd102 ,0
Pd103 ,0
Pd104 ,0
Pd105 ,0
Pd106 ,0
Pd107 ,0
Pd107m ,0
Pd108 ,0
Pd109 ,6.17986E-13
Pd109m ,1.36997E-12
Pd110 ,3.60992E-10
Pd111 ,0.00000000619986
Pd111m ,0.0000000137997
Pd112 ,0.000000652985
Pd113 ,0.00000816982
Pd114 ,0.0000601686
Pd115 ,0.000203885
Pd116 ,0.000413751
Pd117 ,0.000509698
Pd118 ,0.0004314
Pd119 ,0.000240075
Pd120 ,0.000106198
Pd121 ,0.0000207995
Pd122 ,0.00000232995
Pd123 ,0.000000154997
Pd124 ,0.00000000727984
Pd125 ,1.98993E-10
Pd126 ,0
Pd127 ,0
Pd128 ,0
Pd129 ,0
Pd130 ,0
Pd131 ,3.1058E-14
Ag103 ,0
Ag105 ,0
Ag105m ,0
Ag106 ,0
Ag106m ,0
Ag107 ,0
Ag107m ,0
Ag108 ,0
Ag108m ,0
Ag109 ,0
Ag109m ,0
Ag110 ,0
Ag110m ,0
Ag111 ,9.61978E-14
Ag111m ,7.05984E-13
Ag112 ,1.25997E-10
Ag113 ,8.9798E-10
Ag113m ,0.00000000658985
Ag114 ,0.000000205995
Ag115 ,0.00000155996
Ag115m ,0.00000155996
Ag116 ,0.0000086998
Ag116m ,0.0000086998
Ag117 ,0.0000373192
Ag117m ,0.0000373192
Ag118 ,0.0000794082
Ag118m ,0.0000794082
Ag119 ,0.000291653
Ag120 ,0.000156126
Ag120m ,0.000156126
Ag121 ,0.000229135
Ag122 ,0.0000372392
Ag122m ,0.0000372392
Ag123 ,0.0000212495
Ag124 ,0.00000334992
Ag125 ,0.00000045599
Ag126 ,3.73992E-11
Ag127 ,4.4199E-12
Ag128 ,2.35995E-13
Ag129 ,3.69294E-15
Ag130 ,0
Ag131 ,0.00000000194194
Ag132 ,5.62854E-12
Ag133 ,2.5527E-13
Cd105 ,0
Cd106 ,0
Cd107 ,0
Cd108 ,0
Cd109 ,0
Cd110 ,0
Cd111 ,0
Cd111m ,0
Cd112 ,0
Cd113 ,6.61985E-14
Cd113m ,2.48994E-13
Cd114 ,4.78989E-11
Cd115 ,5.34988E-10
Cd115m ,0.00000000200995
Cd116 ,0.0000000611986
Cd117 ,0.000000159996
Cd117m ,0.000000600986
Cd118 ,0.00000662985
Cd119 ,0.0000163796
Cd119m ,0.0000163796
Cd120 ,0.000122797
Cd121 ,0.000114577
Cd121m ,0.000114577
Cd122 ,0.000260144
Cd123 ,0.000194366
Cd124 ,0.000122527
Cd125 ,0.0000534888
Cd126 ,0.00000550988
Cd127 ,0.00000223995
Cd128 ,0.000000625986
Cd129 ,0.000000090398
Cd130 ,0.0000000295993
Cd131 ,0.00000543794
Cd132 ,0.00000061898
Cd133 ,0.0000000238431
Cd134 ,1.97996E-10
Cd135 ,9.2666E-13
Cd136 ,0
In107 ,0
In109 ,0
In111 ,0
In112 ,0
In112m ,0
In113 ,0
In113m ,0
In114 ,0
In114m ,0
In115 ,3.44992E-14
In115m ,0
In116 ,1.09998E-12
In116m ,1.09998E-12
In116n ,1.09998E-12
In117 ,1.37997E-10
In117m ,2.82994E-11
In118 ,0.00000000388991
In118m ,5.49988E-10
In118n ,5.49988E-10
In119 ,0.000000086798
In119m ,0.0000000177996
In120 ,0.000000385325
In120m ,0.000000385325
In120n ,0.000000385325
In121 ,0.00000738983
In121m ,0.00000150997
In122 ,0.00000934646
In122m ,0.00000934646
In122n ,0.00000934646
In123 ,0.0000626786
In123m ,0.0000128397
In124 ,0.0000615186
In124m ,0.0000615186
In125 ,0.000100758
In125m ,0.000100758
In126 ,0.000143482
In126m ,0.000143482
In127 ,0.000224045
In127m ,0.000224045
In128 ,0.000199381
In128m ,0.000199381
In129 ,0.000134797
In129m ,0.000134797
In130 ,0.000103394
In130m ,0.000103394
In130n ,0.000103394
In131 ,0.000485979
In131m ,0.000485979
In132 ,0.000348642
In133 ,0.0000446951
In134 ,0.00000205995
In135 ,0.0000000579406
In136 ,7.19984E-10
In137 ,1.69153E-12
In138 ,9.91133E-14
Sn111 ,0
Sn112 ,0
Sn113 ,0
Sn113m ,0
Sn114 ,0
Sn115 ,0
Sn116 ,0
Sn117 ,0
Sn117m ,0
Sn118 ,2.38995E-13
Sn119 ,3.39992E-12
Sn119m ,1.27997E-11
Sn120 ,7.89982E-10
Sn121 ,0.00000000527988
Sn121m ,0.0000000149997
Sn122 ,0.000000285994
Sn123 ,0.00000174996
Sn123m ,0.000000613986
Sn124 ,0.0000157896
Sn125 ,0.0000541488
Sn125m ,0.0000190296
Sn126 ,0.000187146
Sn127 ,0.000416181
Sn127m ,0.000146227
Sn128 ,0.000695944
Sn128m ,0.000695944
Sn129 ,0.00164828
Sn129m ,0.000524418
Sn130 ,0.00421451
Sn130m ,0.00421451
Sn131 ,0.00559507
Sn131m ,0.00559507
Sn132 ,0.0153674
Sn133 ,0.00617616
Sn134 ,0.0013946
Sn135 ,0.000162248
Sn136 ,0.00000947979
Sn137 ,0.000000157995
Sn138 ,0.0000000108997
Sn139 ,2.97464E-11
Sn140 ,1.11233E-12
Sn141 ,2.50196E-13
Sb113 ,0
Sb115 ,0
Sb117 ,0
Sb118 ,0
Sb118m ,0
Sb119 ,0
Sb120 ,0
Sb120m ,0
Sb121 ,9.70978E-13
Sb122 ,2.02995E-11
