Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Sr91 ; 0.00291913 ; 0.00186824
Sr92 ; 0.01085 ; 0.00347199
Sr93 ; 0.0213655 ; 0.00683698
Sr94 ; 0.0339575 ; 0.0108664
Sr95 ; 0.0273416 ; 0.0087493
Sr96 ; 0.0228663 ; 0.00731722
Sr97 ; 0.00960266 ; 0.0061457
Sr98 ; 0.0028185 ; 0.00180384
Sr99 ; 5.25046E-4 ; 3.36029E-4
Sr100 ; 6.844E-5 ; 4.38016E-5
Sr101 ; 5.2697E-6 ; 3.37261E-6
Sr102 ; 2.77987E-7 ; 1.77912E-7
Sr103 ; 2.62379E-8 ; 1.67922E-8
Sr104 ; 1.5E-10 ; 9.6E-11
Sr105 ; 5.21472E-12 ; 3.33742E-12
Y85 ; 0.0 ; 0.0
Y87 ; 1.76E-11 ; 1.1264E-11
Y88 ; 1.16E-9 ; 7.424E-10
Y89 ; 9.01E-9 ; 5.7664E-9
Y89m ; 4.4E-8 ; 2.816E-8
Y90 ; 6.2E-7 ; 3.968E-7
Y90m ; 6.2E-7 ; 3.968E-7
Y91 ; 1.183E-5 ; 7.5712E-6
Y91m ; 1.183E-5 ; 7.5712E-6
Y92 ; 2.2396E-4 ; 1.43334E-4
Y93 ; 7.298E-4 ; 4.67072E-4
Y93m ; 7.298E-4 ; 4.67072E-4
Y94 ; 0.00538236 ; 0.00344471
Y95 ; 0.0131905 ; 0.00422096
Y96 ; 0.00219684 ; 0.00140598
Y96m ; 0.0222124 ; 0.00710796
Y97 ; 0.0156157 ; 0.00999402
Y97m ; 0.0156157 ; 0.00999402
Y98 ; 0.0104059 ; 0.00332989
Y98m ; 0.0104056 ; 0.00332978
Y99 ; 0.0128019 ; 0.0040966
Y100 ; 0.0041208 ; 0.00263731
Y101 ; 0.00112799 ; 7.21914E-4
Y102 ; 1.6047E-4 ; 1.02701E-4
Y103 ; 1.61938E-5 ; 1.0364E-5
Y104 ; 8.71E-7 ; 5.5744E-7
Y105 ; 6.20606E-8 ; 3.97188E-8
Y106 ; 1.8793E-10 ; 1.20275E-10
Y107 ; 6.98782E-12 ; 4.47221E-12
Zr87 ; 0.0 ; 0.0
Zr88 ; 3.01E-14 ; 1.9264E-14
Zr89 ; 3.77E-12 ; 2.4128E-12
Zr90 ; 1.72E-10 ; 1.1008E-10
Zr90m ; 1.72E-10 ; 1.1008E-10
Zr91 ; 1.82E-8 ; 1.1648E-8
Zr92 ; 6.53E-7 ; 4.1792E-7
Zr93 ; 1.107E-5 ; 7.0848E-6
Zr94 ; 1.4696E-4 ; 9.40544E-5
