Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
Rb100 ; 3.83E-9 ; 2.4512E-9
Rb101 ; 0.0 ; 0.0
Rb102 ; 0.0 ; 0.0
Rb103 ; 0.0 ; 0.0
Sr83 ; 0.0 ; 0.0
Sr84 ; 2.25E-12 ; 1.44E-12
Sr85 ; 1.47E-10 ; 9.408E-11
Sr85m ; 1.47E-10 ; 9.408E-11
Sr86 ; 2.09E-8 ; 1.3376E-8
Sr87 ; 6.98E-7 ; 4.4672E-7
Sr87m ; 1.43E-7 ; 9.152E-8
Sr88 ; 1.799E-5 ; 1.15136E-5
Sr89 ; 2.2123E-4 ; 1.41587E-4
Sr90 ; 0.00146972 ; 9.40621E-4
Sr91 ; 0.00595737 ; 0.00381272
Sr92 ; 0.0176031 ; 0.005633
Sr93 ; 0.03258 ; 0.0104256
Sr94 ; 0.0408301 ; 0.0130656
Sr95 ; 0.0353842 ; 0.0113229
Sr96 ; 0.0164629 ; 0.00526812
Sr97 ; 0.00577034 ; 0.00369302
Sr98 ; 0.0011015 ; 7.0496E-4
Sr99 ; 1.41492E-4 ; 9.05552E-5
Sr100 ; 1.091E-5 ; 6.9824E-6
Sr101 ; 4.48E-12 ; 2.8672E-12
Sr102 ; 3.89E-14 ; 2.4896E-14
Sr103 ; 4.99303E-16 ; 3.19554E-16
Sr104 ; 0.0 ; 0.0
Sr105 ; 0.0 ; 0.0
Sr106 ; 2.22644E-13 ; 1.42492E-13
Sr107 ; 3.2914E-14 ; 2.1065E-14
Y85 ; 0.0 ; 0.0
Y87 ; 5.92E-11 ; 3.7888E-11
Y88 ; 4.49E-9 ; 2.8736E-9
Y89 ; 3.28E-8 ; 2.0992E-8
Y89m ; 1.6E-7 ; 1.024E-7
Y90 ; 2.125E-6 ; 1.36E-6
Y90m ; 2.125E-6 ; 1.36E-6
Y91 ; 2.783E-5 ; 1.78112E-5
Y91m ; 2.783E-5 ; 1.78112E-5
Y92 ; 5.1163E-4 ; 3.27443E-4
Y93 ; 0.00141091 ; 9.02982E-4
Y93m ; 0.00141091 ; 9.02982E-4
Y94 ; 0.00989883 ; 0.00633525
Y95 ; 0.0231383 ; 0.00740426
Y96 ; 0.00258002 ; 0.00165121
Y96m ; 0.0260869 ; 0.00834781
Y97 ; 0.0136233 ; 0.00871893
Y97m ; 0.0136233 ; 0.00871893
Y98 ; 0.0073651 ; 0.00471366
Y98m ; 0.00736501 ; 0.00471361
Y99 ; 0.00581195 ; 0.00371965
Y100 ; 0.00144242 ; 9.23149E-4
Y101 ; 6.26E-6 ; 4.0064E-6
Y102 ; 2.85E-7 ; 1.824E-7
Y103 ; 1.0E-8 ; 6.4E-9
Y104 ; 2.56E-10 ; 1.6384E-10
Y105 ; 1.29819E-13 ; 8.3084E-14
Y106 ; 5.76451E-9 ; 3.68929E-9
Y107 ; 8.52182E-10 ; 5.45397E-10
Y108 ; 2.86959E-13 ; 1.83654E-13
Y109 ; 1.25585E-14 ; 8.03744E-15
Zr87 ; 0.0 ; 0.0
Zr88 ; 4.65E-14 ; 2.976E-14
Zr89 ; 7.18E-12 ; 4.5952E-12
Zr90 ; 2.735E-10 ; 1.7504E-10
Zr90m ; 2.735E-10 ; 1.7504E-10
Zr91 ; 2.44E-8 ; 1.5616E-8
Zr92 ; 7.55E-7 ; 4.832E-7
Zr93 ; 1.367E-5 ; 8.7488E-6
Zr94 ; 1.5243E-4 ; 9.75552E-5
Zr95 ; 0.00108545 ; 6.94688E-4
Zr96 ; 0.00389313 ; 0.0024916
Zr97 ; 0.0102015 ; 0.00326448
Zr98 ; 0.0147413 ; 0.0047172
Zr99 ; 0.0159653 ; 0.00510891
Zr100 ; 0.0112388 ; 0.00359642
Zr101 ; 0.00446744 ; 0.00285916
Zr102 ; 9.2962E-4 ; 5.94957E-4
Zr103 ; 1.6912E-4 ; 1.08237E-4
Zr104 ; 2.158E-5 ; 1.38112E-5
Zr105 ; 2.6E-6 ; 1.664E-6
Zr106 ; 6.39424E-6 ; 4.09231E-6
Zr107 ; 9.45276E-7 ; 6.04977E-7
Zr108 ; 7.42971E-9 ; 4.75502E-9
Zr109 ; 3.25154E-10 ; 2.08099E-10
Zr110 ; 7.64E-13 ; 4.8896E-13
Zr111 ; 2.50474E-14 ; 1.60304E-14
Nb89 ; 0.0 ; 0.0
Nb90 ; 0.0 ; 0.0
Nb91 ; 4.5E-13 ; 2.88E-13
Nb92 ; 4.83E-11 ; 3.0912E-11
Nb93 ; 2.5E-9 ; 1.6E-9
Nb93m ; 5.11E-10 ; 3.2704E-10
Nb94 ; 7.17E-8 ; 4.5888E-8
Nb94m ; 4.21E-8 ; 2.6944E-8
Nb95 ; 2.24E-6 ; 1.4336E-6
Nb95m ; 4.58E-7 ; 2.9312E-7
Nb96 ; 3.135E-5 ; 2.0064E-5
Nb97 ; 2.1314E-4 ; 1.3641E-4
Nb97m ; 4.366E-5 ; 2.79424E-5
Nb98 ; 8.6336E-4 ; 5.5255E-4
Nb98m ; 2.4351E-4 ; 1.55846E-4
Nb99 ; 2.7858E-4 ; 1.78291E-4
Nb99m ; 0.0032035 ; 0.00205024
Nb100 ; 0.00340582 ; 0.00217972
Nb100m ; 0.00340582 ; 0.00217972
Nb101 ; 0.00926256 ; 0.00592804
Nb102 ; 0.00263441 ; 0.00168602
Nb102m ; 0.00263441 ; 0.00168602
Nb103 ; 0.00308952 ; 0.00197729
Nb104 ; 6.89405E-4 ; 4.41219E-4
Nb104m ; 6.89405E-4 ; 4.41219E-4
Nb105 ; 7.0091E-4 ; 4.48582E-4
Nb106 ; 2.4786E-4 ; 1.5863E-4
Nb107 ; 5.15439E-5 ; 3.29881E-5
Nb108 ; 5.38E-6 ; 3.4432E-6
Nb109 ; 3.60675E-7 ; 2.30832E-7
Nb110 ; 1.06E-8 ; 6.784E-9
Nb111 ; 6.48508E-10 ; 4.15045E-10
Nb112 ; 8.76712E-13 ; 5.61096E-13
Nb113 ; 5.253E-14 ; 3.36192E-14
Mo90 ; 0.0 ; 0.0
Mo91 ; 0.0 ; 0.0
Mo92 ; 0.0 ; 0.0
Mo93 ; 1.37E-14 ; 8.768E-15
Mo93m ; 1.37E-14 ; 8.768E-15
Mo94 ; 3.61E-12 ; 2.3104E-12
Mo95 ; 2.96E-10 ; 1.8944E-10
Mo96 ; 1.18E-8 ; 7.552E-9
Mo97 ; 3.25E-7 ; 2.08E-7
Mo98 ; 4.61E-6 ; 2.9504E-6
Mo99 ; 4.769E-5 ; 3.05216E-5
Mo100 ; 2.9372E-4 ; 1.87981E-4
Mo101 ; 1.1344E-4 ; 7.26016E-5
Mo102 ; 2.3113E-4 ; 1.47923E-4
Mo103 ; 4.4798E-4 ; 2.86707E-4
Mo104 ; 5.5564E-4 ; 3.5561E-4
Mo105 ; 7.6913E-4 ; 4.92243E-4
Mo106 ; 6.4713E-4 ; 4.14163E-4
Mo107 ; 5.0683E-4 ; 3.24371E-4
Mo108 ; 1.9676E-4 ; 1.25926E-4
Mo109 ; 5.226E-5 ; 3.34464E-5
Mo110 ; 6.35E-6 ; 4.064E-6
Mo111 ; 7.19351E-7 ; 4.60385E-7
Mo112 ; 2.26991E-8 ; 1.45274E-8
Mo113 ; 1.36006E-9 ; 8.70441E-10
Mo114 ; 1.49E-11 ; 9.536E-12
Mo115 ; 1.61417E-13 ; 1.03307E-13
Mo116 ; 0.0 ; 0.0
Tc93 ; 0.0 ; 0.0
Tc95 ; 0.0 ; 0.0
Tc95m ; 0.0 ; 0.0
Tc97 ; 8.85E-12 ; 5.664E-12
Tc97m ; 8.85E-12 ; 5.664E-12
Tc98 ; 8.66E-10 ; 5.5424E-10
Tc99 ; 2.61E-8 ; 1.6704E-8
Tc99m ; 5.34E-9 ; 3.4176E-9
